id;Full_name;Department;Hora_entrada;Hora_salida;worked_hours;dias_trabajados;Horas_extra_diurnas;Horas_extra_nocturnas;Ausencias;salario_base;Valor_hora_sueldo;pago_horas_extra_diurnas;pago_horas_extra_nocturnas;auxilio_transporte;deduccion_salud;Total_devengado;deduccion_pension;Total_decucciones;Total_neto_a_pagar
156;Grenville Silcock;Marketing;8:45;17:04;8:19:00;20;13;15;0;3302242;20639.0125;335383.9531;386981.4844;0;132089.68;4024607.438;132089.68;264179.36;3760428.078
157;Vanny Abrahamson;Product Management;8:59;16:39;7:40:00;18;11;8;2;13659377;94856.78472;1304280.79;948567.8472;0;546375.08;15912225.64;546375.08;1092750.16;14819475.48
158;Luce Bilsborrow;Support;8:59;17:38;8:39:00;20;3;2;2;27562326;172264.5375;645992.0156;430661.3438;0;1102493.04;28638979.36;1102493.04;2204986.08;26433993.28
159;Agathe Ouldcott;Sales;9:19;16:44;7:25:00;20;17;13;2;23346937;145918.3563;3100765.07;2371173.289;0;933877.48;28818875.36;933877.48;1867754.96;26951120.4
160;Conrade Kordt;Sales;8:43;16:39;7:56:00;20;1;15;0;3833412;23958.825;29948.53125;449227.9688;0;153336.48;4312588.5;153336.48;306672.96;4005915.54
161;Dionis Plowes;Marketing;9:12;16:32;7:20:00;19;4;11;2;17618990;115914.4079;579572.0395;1593823.109;0;704759.6;19792385.15;704759.6;1409519.2;18382865.95
162;Roddy Channer;Human Resources;9:02;17:20;8:18:00;19;19;13;2;8472134;55737.72368;1323770.938;905738.0099;0;338885.36;10701642.95;338885.36;677770.72;10023872.23
163;Obediah Szymanek;Legal;9:16;17:20;8:04:00;19;2;5;0;19135908;125894.1316;314735.3289;786838.3224;0;765436.32;20237481.65;765436.32;1530872.64;18706609.01
164;Tiphany Barkus;Research and Development;8:48;17:21;8:33:00;18;13;2;2;14666313;101849.3958;1655052.682;254623.4896;0;586652.52;16575989.17;586652.52;1173305.04;15402684.13
165;Arlyne Grogona;Legal;9:09;17:29;8:20:00;19;13;13;1;10893500;71667.76316;1164601.151;1164601.151;0;435740;13222702.3;435740;871480;12351222.3
166;Pebrook Winkle;Support;8:51;17:37;8:46:00;20;9;11;2;26265160;164157.25;1846769.063;2257162.188;0;1050606.4;30369091.25;1050606.4;2101212.8;28267878.45
167;Morris Brydell;Engineering;9:14;17:38;8:24:00;19;14;15;2;11782573;77516.92763;1356546.234;1453442.393;0;471302.92;14592561.63;471302.92;942605.84;13649955.79
168;Shermie Newe;Marketing;8:43;17:06;8:23:00;20;11;9;0;18775688;117348.05;1613535.688;1320165.563;0;751027.52;21709389.25;751027.52;1502055.04;20207334.21
169;Jessie Bragginton;Sales;9:14;16:57;7:43:00;19;10;15;1;19086964;125572.1316;1569651.645;2354477.467;0;763478.56;23011093.11;763478.56;1526957.12;21484135.99
170;Win Schustl;Business Development;9:18;17:33;8:15:00;18;8;5;2;6913943;48013.49306;480134.9306;300084.3316;0;276557.72;7694162.262;276557.72;553115.44;7141046.822
171;Ian Gillbanks;Engineering;8:45;16:56;8:11:00;20;9;11;2;7299554;45622.2125;513249.8906;627305.4219;0;291982.16;8440109.313;291982.16;583964.32;7856144.993
172;Vera Arpur;Business Development;9:18;16:56;7:38:00;19;4;0;0;13823739;90945.65132;454728.2566;0;0;552949.56;14278467.26;552949.56;1105899.12;13172568.14
173;Maxie Codd;Marketing;9:07;17:16;8:09:00;18;20;5;1;14092625;97865.45139;2446636.285;611659.0712;0;563705;17150920.36;563705;1127410;16023510.36
174;Kathlin Rieflin;Human Resources;8:52;17:14;8:22:00;19;7;3;0;9724763;63978.70395;559813.6595;239920.1398;0;388990.52;10524496.8;388990.52;777981.04;9746515.759
175;Obadiah Westall;Accounting;9:05;16:50;7:45:00;19;0;6;0;14096554;92740.48684;0;695553.6513;0;563862.16;14792107.65;563862.16;1127724.32;13664383.33
176;Bliss Sanham;Legal;8:45;17:09;8:24:00;18;7;5;0;14283066;99187.95833;867894.6354;619924.7396;0;571322.64;15770885.38;571322.64;1142645.28;14628240.1
177;Ondrea Govett;Support;8:57;16:49;7:52:00;20;9;1;0;26968461;168552.8813;1896219.914;210691.1016;0;1078738.44;29075372.02;1078738.44;2157476.88;26917895.14
178;Dennison Simkin;Legal;9:15;17:28;8:13:00;20;2;12;0;22007167;137544.7938;343861.9844;2063171.906;0;880286.68;24414200.89;880286.68;1760573.36;22653627.53
179;Marcile Grayshan;Training;8:50;17:21;8:31:00;18;8;15;2;19089378;132565.125;1325651.25;2485596.094;0;763575.12;22900625.34;763575.12;1527150.24;21373475.1
180;Roselia McKag;Engineering;9:07;16:36;7:29:00;20;20;0;0;12804206;80026.2875;2000657.188;0;0;512168.24;14804863.19;512168.24;1024336.48;13780526.71
181;Anatola Cossington;Services;9:01;17:00;7:59:00;19;14;7;1;12365911;81354.67763;1423706.859;711853.4293;0;494636.44;14501471.29;494636.44;989272.88;13512198.41
182;Ethelbert Pauluzzi;Research and Development;8:43;16:45;8:02:00;19;16;9;1;14821300;97508.55263;1950171.053;1096971.217;0;592852;17868442.27;592852;1185704;16682738.27
183;Ario Powner;Engineering;8:41;16:49;8:08:00;20;0;14;0;10300180;64376.125;0;1126582.188;0;412007.2;11426762.19;412007.2;824014.4;10602747.79
184;Troy Cullinan;Human Resources;8:55;17:16;8:21:00;20;17;6;2;23827927;148924.5438;3164646.555;1116934.078;0;953117.08;28109507.63;953117.08;1906234.16;26203273.47
185;Tudor Spincks;Accounting;9:06;16:58;7:52:00;18;8;2;0;27973322;194259.1806;1942591.806;485647.9514;0;1118932.88;30401561.76;1118932.88;2237865.76;28163696
186;Guillemette Cordall;Support;9:05;17:39;8:34:00;20;4;4;0;10041489;62759.30625;313796.5313;313796.5313;0;401659.56;10669082.06;401659.56;803319.12;9865762.943
187;Lila Steere;Support;9:01;16:31;7:30:00;20;15;14;1;2173987;13587.41875;254764.1016;237779.8281;162000;86959.48;2828530.93;86959.48;173918.96;2654611.97
188;Lane Laviss;Services;9:06;17:06;8:00:00;20;9;3;0;22435518;140221.9875;1577497.359;525832.4531;0;897420.72;24538847.81;897420.72;1794841.44;22744006.37
189;Lorens Boase;Services;9:08;17:24;8:16:00;19;4;10;2;3262092;21461.13158;107305.6579;268264.1447;0;130483.68;3637661.803;130483.68;260967.36;3376694.443
190;Gilligan Parley;Research and Development;8:50;16:38;7:48:00;19;5;10;2;24805395;163193.3882;1019958.676;2039917.352;0;992215.8;27865271.03;992215.8;1984431.6;25880839.43
191;Rosella Heeney;Product Management;9:10;16:43;7:33:00;20;10;10;0;26136464;163352.9;2041911.25;2041911.25;0;1045458.56;30220286.5;1045458.56;2090917.12;28129369.38
192;Fanni Learoyd;Support;8:49;16:41;7:52:00;18;0;14;1;27735933;192610.6458;0;3370686.302;0;1109437.32;31106619.3;1109437.32;2218874.64;28887744.66
193;Kristos Duncan;Business Development;8:59;16:40;7:41:00;19;1;2;0;15051084;99020.28947;123775.3618;247550.7237;0;602043.36;15422410.09;602043.36;1204086.72;14218323.37
194;Carolan Padwick;Training;8:59;16:54;7:55:00;19;16;10;0;6161020;40533.02632;810660.5263;506662.8289;0;246440.8;7478343.355;246440.8;492881.6;6985461.755
195;Bard Mougin;Research and Development;9:19;16:58;7:39:00;18;10;6;2;25584582;177670.7083;2220883.854;1332530.313;0;1023383.28;29137996.17;1023383.28;2046766.56;27091229.61
196;Aldrich Arbuckel;Product Management;8:45;16:30;7:45:00;19;0;11;0;9489515;62431.01974;0;858426.5214;0;379580.6;10347941.52;379580.6;759161.2;9588780.321
197;Doroteya Shama;Services;9:06;16:35;7:29:00;20;17;13;1;26954915;168468.2188;3579949.648;2737608.555;0;1078196.6;33272473.2;1078196.6;2156393.2;31116080
198;Rosina MacCook;Product Management;8:53;17:12;8:19:00;20;2;12;0;11375570;71097.3125;177743.2813;1066459.688;0;455022.8;12619772.97;455022.8;910045.6;11709727.37
199;Cody Mincher;Legal;9:05;17:19;8:14:00;20;20;0;1;15715693;98223.08125;2455577.031;0;0;628627.72;18171270.03;628627.72;1257255.44;16914014.59
200;Andrey Ruddock;Support;8:43;16:36;7:53:00;20;6;12;1;10233680;63960.5;479703.75;959407.5;0;409347.2;11672791.25;409347.2;818694.4;10854096.85
201;Georgine Friedman;Accounting;9:19;16:48;7:29:00;18;11;4;2;18213129;126480.0625;1739100.859;632400.3125;0;728525.16;20584630.17;728525.16;1457050.32;19127579.85
202;Pippa Gawen;Legal;9:07;17:16;8:09:00;19;14;2;0;7905505;52009.90132;910173.273;130024.7533;0;316220.2;8945703.026;316220.2;632440.4;8313262.626
203;Terri Flintoffe;Accounting;8:58;16:40;7:42:00;19;10;14;0;8082013;53171.13816;664639.227;930494.9178;0;323280.52;9677147.145;323280.52;646561.04;9030586.105
204;Perl Simeon;Research and Development;9:07;16:59;7:52:00;19;11;1;2;11542849;75939.79605;1044172.196;94924.74507;0;461713.96;12681945.94;461713.96;923427.92;11758518.02
205;Jazmin Cund;Training;9:07;17:17;8:10:00;20;7;10;1;2195658;13722.8625;120075.0469;171535.7813;162000;87826.32;2649268.828;87826.32;175652.64;2473616.188
206;Latrina Agget;Services;8:46;16:57;8:11:00;20;0;14;0;22100576;138128.6;0;2417250.5;0;884023.04;24517826.5;884023.04;1768046.08;22749780.42
207;Lind Driffield;Engineering;9:13;17:12;7:59:00;20;1;1;2;21618589;135116.1813;168895.2266;168895.2266;0;864743.56;21956379.45;864743.56;1729487.12;20226892.33
208;Ayn Grossman;Marketing;9:12;17:08;7:56:00;19;16;7;1;21207064;139520.1579;2790403.158;1220801.382;0;848282.56;25218268.54;848282.56;1696565.12;23521703.42
209;Ewell Devita;Product Management;8:40;17:05;8:25:00;19;14;10;2;15676671;103135.9934;1804879.885;1289199.918;0;627066.84;18770750.8;627066.84;1254133.68;17516617.12
210;Loleta Taffs;Product Management;8:52;16:36;7:44:00;20;17;7;2;22412203;140076.2688;2976620.711;1225667.352;0;896488.12;26614491.06;896488.12;1792976.24;24821514.82
211;Rania Deble;Engineering;9:14;16:50;7:36:00;19;20;2;1;19614741;129044.3487;3226108.717;322610.8717;0;784589.64;23163460.59;784589.64;1569179.28;21594281.31
212;Payton Hendrich;Sales;8:49;17:26;8:37:00;18;3;9;2;22836552;158587.1667;594701.875;1784105.625;0;913462.08;25215359.5;913462.08;1826924.16;23388435.34
213;Natividad Walenta;Engineering;9:15;16:41;7:26:00;20;8;13;0;5142523;32140.76875;321407.6875;522287.4922;0;205700.92;5986218.18;205700.92;411401.84;5574816.34
214;Lorinda Swyne;Sales;9:17;17:19;8:02:00;19;6;12;2;1921493;12641.40132;94810.50987;189621.0197;162000;76859.72;2367924.53;76859.72;153719.44;2214205.09
215;Bond Cale;Research and Development;9:11;16:58;7:47:00;19;10;3;2;5048877;33216.29605;415203.7007;124561.1102;0;201955.08;5588641.811;201955.08;403910.16;5184731.651
216;Saudra Basler;Services;8:50;17:28;8:38:00;19;8;7;0;8056375;53002.46711;530024.6711;463771.5872;0;322255;9050171.258;322255;644510;8405661.258
217;Maisie Blagburn;Business Development;8:54;17:07;8:13:00;19;17;13;2;8510690;55991.38158;1189816.859;909859.9507;0;340427.6;10610366.81;340427.6;680855.2;9929511.609
218;Rafael Brockhurst;Sales;8:53;16:37;7:44:00;19;6;10;1;19765579;130036.7039;975275.2796;1625458.799;0;790623.16;22366313.08;790623.16;1581246.32;20785066.76
219;Marga Newsham;Support;8:42;17:20;8:38:00;19;12;2;1;17831735;117314.0461;1759710.691;293285.1151;0;713269.4;19884730.81;713269.4;1426538.8;18458192.01
220;Una Foch;Engineering;8:55;16:39;7:44:00;18;16;9;2;15004941;104200.9792;2084019.583;1172261.016;0;600197.64;18261221.6;600197.64;1200395.28;17060826.32
221;Phillip Blakebrough;Engineering;9:03;17:19;8:16:00;18;14;11;0;27570702;191463.2083;3350606.146;2632619.115;0;1102828.08;33553927.26;1102828.08;2205656.16;31348271.1
222;Jeffrey Satch;Human Resources;9:07;17:35;8:28:00;20;10;0;0;10639921;66499.50625;831243.8281;0;0;425596.84;11471164.83;425596.84;851193.68;10619971.15
223;Anastasie Cockill;Training;8:55;17:31;8:36:00;20;9;9;2;11026876;68917.975;775327.2188;775327.2188;0;441075.04;12577530.44;441075.04;882150.08;11695380.36
224;Hazlett Warby;Engineering;8:57;17:02;8:05:00;20;15;15;2;26216842;163855.2625;3072286.172;3072286.172;0;1048673.68;32361414.34;1048673.68;2097347.36;30264066.98
225;Orren Portail;Legal;9:05;16:31;7:26:00;19;4;12;1;11350233;74672.58553;373362.9276;1120088.783;0;454009.32;12843684.71;454009.32;908018.64;11935666.07
226;Emery Roscoe;Engineering;9:10;17:27;8:17:00;20;18;7;0;11918374;74489.8375;1676021.344;651786.0781;0;476734.96;14246181.42;476734.96;953469.92;13292711.5
227;Heda Smithies;Support;9:09;16:59;7:50:00;19;8;4;2;26990569;177569.5329;1775695.329;887847.6645;0;1079622.76;29654111.99;1079622.76;2159245.52;27494866.47
228;Melesa Vye;Support;8:59;17:35;8:36:00;18;18;15;2;3496971;24284.52083;546401.7188;455334.7656;0;139878.84;4498707.484;139878.84;279757.68;4218949.804
229;Abba Ebbins;Support;8:49;17:32;8:43:00;18;6;15;0;1525779;10595.6875;79467.65625;198669.1406;162000;61031.16;1965915.797;61031.16;122062.32;1843853.477
230;Verge Juris;Legal;8:40;17:34;8:54:00;20;20;7;1;14782384;92389.9;2309747.5;808411.625;0;591295.36;17900543.13;591295.36;1182590.72;16717952.41
231;Ellette Tibbetts;Support;9:15;17:22;8:07:00;18;13;15;2;3653255;25369.82639;412259.6788;475684.2448;0;146130.2;4541198.924;146130.2;292260.4;4248938.524
232;Nicolle Mc Giffin;Support;8:52;17:12;8:20:00;18;9;13;0;20263242;140716.9583;1583065.781;2286650.573;0;810529.68;24132958.35;810529.68;1621059.36;22511898.99
233;Winfield Summerrell;Research and Development;8:59;17:22;8:23:00;20;17;15;0;24930800;155817.5;3311121.875;2921578.125;0;997232;31163500;997232;1994464;29169036
234;Bartlet Kestian;Marketing;9:06;16:33;7:27:00;20;17;9;0;14373291;89833.06875;1908952.711;1010622.023;0;574931.64;17292865.73;574931.64;1149863.28;16143002.45
235;Jeniffer Matuschek;Training;9:05;17:12;8:07:00;19;13;10;0;22125303;145561.2039;2365369.564;1819515.049;0;885012.12;26310187.61;885012.12;1770024.24;24540163.37
236;Waylen McAdam;Training;9:15;17:34;8:19:00;19;18;13;2;25463945;167525.9539;3769333.964;2722296.752;0;1018557.8;31955575.72;1018557.8;2037115.6;29918460.12
237;Bobbye Dorrian;Support;8:55;16:55;8:00:00;20;1;9;2;2262464;14140.4;17675.5;159079.5;162000;90498.56;2601219;90498.56;180997.12;2420221.88
238;Aili Stephen;Business Development;8:51;17:26;8:35:00;18;7;14;2;14065677;97678.3125;854685.2344;1709370.469;0;562627.08;16629732.7;562627.08;1125254.16;15504478.54
239;Thibaud Londsdale;Business Development;8:42;17:18;8:36:00;18;8;6;0;14739959;102360.8264;1023608.264;767706.1979;0;589598.36;16531273.46;589598.36;1179196.72;15352076.74
240;Huntington Boice;Engineering;8:51;17:04;8:13:00;18;2;7;1;19578334;135960.6528;339901.6319;1189655.712;0;783133.36;21107891.34;783133.36;1566266.72;19541624.62
241;Engracia Cosgry;Accounting;8:47;16:46;7:59:00;20;15;5;1;21891770;136823.5625;2565441.797;855147.2656;0;875670.8;25312359.06;875670.8;1751341.6;23561017.46
242;Jennica Matasov;Human Resources;9:18;17:28;8:10:00;19;16;11;1;9042679;59491.30921;1189826.184;818005.5016;0;361707.16;11050510.69;361707.16;723414.32;10327096.37
243;Blaine Warrior;Sales;9:05;17:02;7:57:00;19;5;2;0;21357331;140508.7566;878179.7286;351271.8914;0;854293.24;22586782.62;854293.24;1708586.48;20878196.14
244;Teddy Moffat;Engineering;9:09;17:02;7:53:00;18;12;7;2;18703258;129883.7361;1948256.042;1136482.691;0;748130.32;21787996.73;748130.32;1496260.64;20291736.09
245;Buck Ashfold;Product Management;9:13;16:57;7:44:00;20;7;6;1;24797872;154986.7;1356133.625;1162400.25;0;991914.88;27316405.88;991914.88;1983829.76;25332576.12
246;Grata Minchenton;Engineering;8:55;17:15;8:20:00;19;17;1;1;23583534;155154.8289;3297040.115;193943.5362;0;943341.36;27074517.65;943341.36;1886682.72;25187834.93
247;Marlo Purvey;Sales;8:52;17:18;8:26:00;18;4;2;2;14702914;102103.5694;510517.8472;255258.9236;0;588116.56;15468690.77;588116.56;1176233.12;14292457.65
248;Carin Spuner;Marketing;8:47;16:38;7:51:00;20;13;10;1;2742203;17138.76875;278504.9922;214234.6094;0;109688.12;3234942.602;109688.12;219376.24;3015566.362
249;Carla Hendricks;Marketing;8:56;17:39;8:43:00;19;5;10;1;12726528;83727.15789;523294.7368;1046589.474;0;509061.12;14296412.21;509061.12;1018122.24;13278289.97
250;Ainslee Callar;Legal;9:11;16:46;7:35:00;19;5;11;0;6911450;45470.06579;284187.9112;625213.4046;0;276458;7820851.316;276458;552916;7267935.316
251;Amalita Speake;Engineering;9:00;17:24;8:24:00;18;16;0;2;28540999;198201.3819;3964027.639;0;0;1141639.96;32505026.64;1141639.96;2283279.92;30221746.72
252;Fayre Magnar;Accounting;9:09;16:42;7:33:00;19;12;13;0;11194694;73649.30263;1104739.539;1196801.168;0;447787.76;13496234.71;447787.76;895575.52;12600659.19
253;Tracee Seefeldt;Research and Development;8:55;16:32;7:37:00;19;1;7;2;26872363;176791.8618;220989.8273;1546928.791;0;1074894.52;28640281.62;1074894.52;2149789.04;26490492.58
254;Bernhard Newcome;Legal;8:51;17:27;8:36:00;18;6;12;1;25212824;175089.0556;1313167.917;2626335.833;0;1008512.96;29152327.75;1008512.96;2017025.92;27135301.83
255;Tatum Allenson;Accounting;9:17;17:05;7:48:00;20;3;0;1;17898667;111866.6688;419500.0078;0;0;715946.68;18318167.01;715946.68;1431893.36;16886273.65
256;Gwennie Levitt;Research and Development;9:07;17:39;8:32:00;20;12;0;2;2078818;12992.6125;194889.1875;0;162000;83152.72;2435707.188;83152.72;166305.44;2269401.748
257;Lucian Auger;Accounting;8:42;17:15;8:33:00;19;2;8;0;25376565;166951.0855;417377.7138;1669510.855;0;1015062.6;27463453.57;1015062.6;2030125.2;25433328.37
258;Arlana Weeden;Human Resources;8:54;17:21;8:27:00;19;17;2;2;24172188;159027.5526;3379335.493;397568.8816;0;966887.52;27949092.38;966887.52;1933775.04;26015317.34
259;Sheridan Carren;Accounting;9:19;16:35;7:16:00;19;5;10;2;2091444;13759.5;85996.875;171993.75;162000;83657.76;2511434.625;83657.76;167315.52;2344119.105
260;Clerc Poveleye;Support;9:00;16:40;7:40:00;19;14;12;2;14542564;95674.76316;1674308.355;1435121.447;0;581702.56;17651993.8;581702.56;1163405.12;16488588.68
261;Moises Faveryear;Research and Development;9:00;16:52;7:52:00;19;12;4;0;25714852;169176.6579;2537649.868;845883.2895;0;1028594.08;29098385.16;1028594.08;2057188.16;27041197
262;Barron Lyver;Services;8:51;17:14;8:23:00;19;16;9;1;23529568;154799.7895;3095995.789;1741497.632;0;941182.72;28367061.42;941182.72;1882365.44;26484695.98
263;Jozef Sleaford;Sales;8:55;16:51;7:56:00;20;2;9;0;3729138;23307.1125;58267.78125;262205.0156;0;149165.52;4049610.797;149165.52;298331.04;3751279.757
264;Dave Riddett;Marketing;9:01;16:44;7:43:00;20;9;11;2;1698412;10615.075;119419.5938;145957.2813;162000;67936.48;2125788.875;67936.48;135872.96;1989915.915
265;Findley Timpany;Sales;9:09;16:48;7:39:00;19;18;1;2;24580980;161716.9737;3638631.908;202146.2171;0;983239.2;28421758.13;983239.2;1966478.4;26455279.73
266;Galvan Cartwight;Services;8:42;17:17;8:35:00;18;20;10;0;4835908;33582.69444;839567.3611;419783.6806;0;193436.32;6095259.042;193436.32;386872.64;5708386.402
267;Chet Carlett;Marketing;8:56;16:33;7:37:00;19;17;8;1;27030641;177833.1645;3778954.745;1778331.645;0;1081225.64;32587927.39;1081225.64;2162451.28;30425476.11
268;Yetty Fulton;Legal;8:53;17:19;8:26:00;20;0;13;1;10957425;68483.90625;0;1112863.477;0;438297;12070288.48;438297;876594;11193694.48
269;Arabelle O'Dulchonta;Sales;9:19;16:38;7:19:00;19;10;7;2;6156334;40502.19737;506277.4671;354394.227;0;246253.36;7017005.694;246253.36;492506.72;6524498.974
270;Jolie Volant;Engineering;9:07;16:43;7:36:00;18;16;4;2;11261153;78202.45139;1564049.028;391012.2569;0;450446.12;13216214.28;450446.12;900892.24;12315322.04
271;Livy Sprulls;Sales;8:55;17:35;8:40:00;18;14;12;0;8435093;58577.03472;1025098.108;878655.5208;0;337403.72;10338846.63;337403.72;674807.44;9664039.188
272;Maximilien Raiman;Accounting;9:16;17:05;7:49:00;20;20;10;2;2195428;13721.425;343035.625;171517.8125;162000;87817.12;2871981.438;87817.12;175634.24;2696347.198
273;Morgen Kopfer;Engineering;8:46;17:02;8:16:00;20;19;10;0;22471370;140446.0625;3335593.984;1755575.781;0;898854.8;27562539.77;898854.8;1797709.6;25764830.17
274;Cheslie Hazleton;Training;8:53;17:15;8:22:00;19;1;12;1;27844723;183188.9671;228986.2089;2747834.507;0;1113788.92;30821543.72;1113788.92;2227577.84;28593965.88
275;Cecelia Gurery;Engineering;9:13;17:23;8:10:00;19;17;10;1;28035214;184442.1974;3919396.694;2305527.467;0;1121408.56;34260138.16;1121408.56;2242817.12;32017321.04
276;Roby Trussler;Sales;8:50;16:54;8:04:00;19;4;7;2;8824638;58056.82895;290284.1447;507997.2533;0;352985.52;9622919.398;352985.52;705971.04;8916948.358
277;Carolann Antonin;Accounting;9:06;17:02;7:56:00;19;5;4;1;25942810;170676.3816;1066727.385;853381.9079;0;1037712.4;27862919.29;1037712.4;2075424.8;25787494.49
278;Pincus Dymond;Research and Development;9:03;17:31;8:28:00;19;7;8;2;3510197;23093.40132;202067.2615;230934.0132;0;140407.88;3943198.275;140407.88;280815.76;3662382.515
279;Gennie Wallege;Business Development;8:41;17:15;8:34:00;20;19;14;2;15044097;94025.60625;2233108.148;1645448.109;0;601763.88;18922653.26;601763.88;1203527.76;17719125.5
280;Winston Colqueran;Human Resources;9:09;17:12;8:03:00;19;14;6;0;13890799;91386.83553;1599269.622;685401.2664;0;555631.96;16175469.89;555631.96;1111263.92;15064205.97
281;Judie Kleisel;Engineering;9:07;17:18;8:11:00;18;4;2;2;12197888;84707.55556;423537.7778;211768.8889;0;487915.52;12833194.67;487915.52;975831.04;11857363.63
282;Loren Croney;Legal;9:14;17:22;8:08:00;20;15;12;1;2853668;17835.425;334414.2188;267531.375;0;114146.72;3455613.594;114146.72;228293.44;3227320.154
283;Kinny Alford;Research and Development;9:00;17:34;8:34:00;20;20;2;2;6097955;38112.21875;952805.4688;95280.54688;0;243918.2;7146041.016;243918.2;487836.4;6658204.616
284;Art Varne;Product Management;9:04;16:45;7:41:00;20;16;15;0;2562024;16012.65;320253;300237.1875;162000;102480.96;3344514.188;102480.96;204961.92;3139552.268
285;Ellerey Deverill;Support;8:45;16:58;8:13:00;18;14;4;0;14897996;103458.3056;1810520.347;517291.5278;0;595919.84;17225807.88;595919.84;1191839.68;16033968.2
286;Peggy Assiratti;Training;9:08;16:57;7:49:00;19;4;1;0;2174682;14307.11842;71535.59211;17883.89803;162000;86987.28;2426101.49;86987.28;173974.56;2252126.93
287;Aksel Ivanonko;Services;9:13;16:36;7:23:00;18;16;15;1;24561194;170563.8472;3411276.944;3198072.135;0;982447.76;31170543.08;982447.76;1964895.52;29205647.56
288;Drusilla Chazier;Legal;9:19;16:34;7:15:00;18;14;12;2;8234358;57183.04167;1000703.229;857745.625;0;329374.32;10092806.85;329374.32;658748.64;9434058.214
289;Martita Andrei;Sales;8:58;16:41;7:43:00;18;1;13;2;28544739;198227.3542;247784.1927;3221194.505;0;1141789.56;32013717.7;1141789.56;2283579.12;29730138.58
290;Carmine Starrs;Training;8:44;16:30;7:46:00;18;8;9;0;12424590;86281.875;862818.75;970671.0938;0;496983.6;14258079.84;496983.6;993967.2;13264112.64
291;Melinda Kyteley;Research and Development;9:07;17:14;8:07:00;19;0;5;0;7775874;51157.06579;0;319731.6612;0;311034.96;8095605.661;311034.96;622069.92;7473535.741
292;Inez Durno;Business Development;9:19;16:32;7:13:00;18;16;13;2;24381390;169315.2083;3386304.167;2751372.135;0;975255.6;30519066.3;975255.6;1950511.2;28568555.1
293;Burk Nancarrow;Accounting;8:41;17:01;8:20:00;20;15;2;0;9000312;56251.95;1054724.063;140629.875;0;360012.48;10195665.94;360012.48;720024.96;9475640.978
294;Byrom Trusler;Training;9:19;17:16;7:57:00;19;2;0;2;8253492;54299.28947;135748.2237;0;0;330139.68;8389240.224;330139.68;660279.36;7728960.864
295;Abagail MacAnellye;Sales;9:05;16:58;7:53:00;20;8;6;2;22311375;139446.0938;1394460.938;1045845.703;0;892455;24751681.64;892455;1784910;22966771.64
296;Glad Sawtell;Human Resources;9:17;17:32;8:15:00;18;8;14;2;1368580;9504.027778;95040.27778;166320.4861;162000;54743.2;1791940.764;54743.2;109486.4;1682454.364
297;Meier Oldfield;Research and Development;8:45;17:21;8:36:00;18;4;10;2;21540378;149585.9583;747929.7917;1869824.479;0;861615.12;24158132.27;861615.12;1723230.24;22434902.03
298;Nerte Cuesta;Engineering;9:02;17:14;8:12:00;19;10;15;1;6155352;40495.73684;506196.7105;759295.0658;0;246214.08;7420843.776;246214.08;492428.16;6928415.616
299;Antonina Lake;Services;9:16;17:14;7:58:00;18;8;3;2;9581932;66541.19444;665411.9444;249529.4792;0;383277.28;10496873.42;383277.28;766554.56;9730318.864
300;Yolane Buckthorp;Human Resources;9:02;16:43;7:41:00;20;18;9;0;18480519;115503.2438;2598822.984;1299411.492;0;739220.76;22378753.48;739220.76;1478441.52;20900311.96
301;Aubrette Ferry;Services;8:42;16:55;8:13:00;19;3;13;1;17942386;118042.0132;442657.5493;1918182.714;0;717695.44;20303226.26;717695.44;1435390.88;18867835.38
302;Stevena Donson;Sales;9:15;17:25;8:10:00;20;5;6;2;2753512;17209.45;107559.0625;129070.875;0;110140.48;2990141.938;110140.48;220280.96;2769860.978
303;Marjory Brasher;Human Resources;9:08;17:11;8:03:00;20;16;13;1;23027760;143923.5;2878470;2338756.875;0;921110.4;28244986.88;921110.4;1842220.8;26402766.08
304;Rube Prinne;Services;8:50;16:38;7:48:00;19;1;8;0;13692784;90084.10526;112605.1316;900841.0526;0;547711.36;14706230.18;547711.36;1095422.72;13610807.46
305;Marco Heak;Services;8:59;16:41;7:42:00;20;6;7;2;24722907;154518.1688;1158886.266;1352033.977;0;988916.28;27233827.24;988916.28;1977832.56;25255994.68
306;Farra Storres;Accounting;8:52;16:32;7:40:00;19;1;11;2;6408685;42162.40132;52703.00164;579733.0181;0;256347.4;7041121.02;256347.4;512694.8;6528426.22
307;Tabb Horrell;Product Management;9:04;16:35;7:31:00;18;16;4;2;1890505;13128.50694;262570.1389;65642.53472;162000;75620.2;2380717.674;75620.2;151240.4;2229477.274
308;Jourdain Pettegree;Legal;9:17;16:34;7:17:00;18;1;2;1;11097099;77063.1875;96328.98438;192657.9688;0;443883.96;11386085.95;443883.96;887767.92;10498318.03
309;Farah Evensden;Human Resources;8:53;16:55;8:02:00;19;7;14;1;5030805;33097.40132;289602.2615;579204.523;0;201232.2;5899611.785;201232.2;402464.4;5497147.385
310;Evered Lethbridge;Training;8:40;17:33;8:53:00;20;20;8;0;13587980;84924.875;2123121.875;849248.75;0;543519.2;16560350.63;543519.2;1087038.4;15473312.23
311;Myrtle Huison;Business Development;9:05;16:45;7:40:00;19;15;11;1;5230577;34411.69079;645219.2023;473160.7484;0;209223.08;6348956.951;209223.08;418446.16;5930510.791
