first_name,last_name,id,P/H,P/H_Extras
Bert,Devereu,36645,71.38,25.68
Shannah,Milson,53840,33.14,26.01
Hansiain,Tommeo,28506,37.71,59.04
Farlie,Whitty,45640,55.26,72.13
Trixie,Burrus,33687,22.51,45.28
Bobine,Mainson,10726,80.38,81.14
Tobey,Crewes,55869,52.27,82.05
Milissent,Marini,46380,62.4,80.01
Dion,Squire,39368,12.16,92.43
Beatriz,Hammerich,72288,30.28,73.92
Clemmie,Oxtoby,39658,80.9,66.54
Lilli,Grimbleby,73955,78.56,28.26
Kingsley,Doerling,31597,96.55,29.94
Chadd,Willmont,31391,38.89,44.72
Svend,Hallford,47061,24.64,68.32
Jobey,Conrath,17065,68.28,39
Balduin,Sibyllina,54903,24.8,85.16
Pru,Zanardii,57258,99.98,86.03
Kellia,Ayers,43400,35.11,27.29
Donelle,Tant,52706,13.28,53.56
Nariko,Easterby,62940,28.61,77.82
Morganne,Howes,89540,41.92,58.47
Godart,Claussen,88520,28.07,70.86
Brigham,Hughes,74036,92.86,89.64
Johanna,Lambard,39629,22.11,22.61
Dedra,Garn,12935,93.5,36.14
Chilton,Gofforth,62401,89.7,74.41
Lotta,Ridgers,61458,36.86,88.57
Ambrosio,Varley,57310,80.89,80.28
Orren,Filshin,22222,50.75,70.84
Camile,Firpo,72039,99.39,87.12
Mozes,Ziemecki,54220,25.73,47.94
Lydie,Rodders,72455,96.8,70
Case,Dance,72747,39.13,48.26
Gan,Folliott,88814,62.04,87.95
Belita,Heindl,18361,89.72,65.78
Cherri,Round,93906,36.22,57.59
Gelya,Dalgarno,87522,31.13,36.61
Rheta,Cawthron,54783,90.96,36.32
Othilie,Eddleston,16618,70.92,61.25
Cesaro,Del Checolo,93631,37.98,82.91
Sherye,Dunphie,80333,88.63,88.78
Petra,Scay,59561,55.39,38.27
Manon,Vicarey,11347,15.1,89.8
Dannie,Jory,87254,86.02,46.2
Robinet,Aggiss,27365,23.48,52.08
Eilis,Keeffe,83798,83.37,41.43
Maxie,Bullers,58099,38.45,60.89
Trixie,Gallear,29424,75.47,90.79
Piper,Selwin,57632,56.82,41.9
Edi,Melan,97610,49.01,23.49
Madelene,Hamerton,75726,54.59,47.61
Lindy,Botham,24169,20.19,31.73
Koressa,Rickardsson,65986,38.75,37.49
Grange,Rumford,96001,54.2,66.69
Kimberlee,Faucherand,66298,39.9,33.36
Dre,Fuke,85303,99.52,52.32
Abbe,Blannin,72613,79.48,22.64
Michelle,Roskams,26893,98.38,32.33
Calley,Gerber,83952,57.95,41.65
Isac,Ritmeyer,85341,41.14,21.66
Hugues,Primmer,96881,64.74,89.73
Thia,Holworth,80379,70.65,57.66
Filide,Barnet,26895,47.61,54.46
Camila,Cholomin,17245,58.62,73.68
Darb,Haymes,13136,23.54,25.99
Rose,Battram,75215,26.2,34.21
Cristi,Cowing,70564,44.09,26.55
Peter,Mocker,96117,84.54,55.18
Cort,Learman,31360,62.23,93.92
Celestina,Adame,22716,99.17,30.8
Frederich,Gilberthorpe,45210,94.32,39.2
Modesta,Amiable,34650,82.24,40.78
Chelsea,Haeslier,94159,59.31,57.56
Fernando,Robison,96985,93.45,82.81
Franny,Berkley,50317,72.12,93.8
Pippa,Kellart,35997,98.8,53.88
Abramo,Theseira,52154,87.14,69.13
Quintin,Dungee,78223,57.47,54.62
August,Middlehurst,62210,83.54,50.91
Prent,Bannister,51787,55.87,20.03
Robinia,Overil,46540,49.55,24.77
Nicolle,Kilfeder,40106,21.58,59.4
Carey,Kelemen,43704,20.29,76.9
Karl,Kiefer,97859,70.68,21.1
Jabez,Vittore,67158,85.56,77.56
Helena,Penbarthy,56813,53.1,94.1
Melvyn,Normand,23548,96.47,77.33
Daffie,Adamo,58597,84.94,42.52
Sharla,Sweett,52004,43.88,50.87
Ivar,Berrie,48336,89.75,67.69
Farrel,Haresnape,20830,92.05,78.86
Clint,Scotchmer,61480,34.83,55
Margy,Sinnocke,43456,36.22,69.76
Jedediah,Bolt,29062,46.59,43
Blayne,Baggiani,40338,34.78,24.89
Skipp,McKinney,79407,31.27,89.62
Naomi,Huby,98630,76.2,81.53
Leelah,Jerok,95867,43.11,83.98
Brendon,Kerr,57895,48.28,66.22
Carolann,Duer,50796,88.22,60.95
Vern,McHan,65247,38.34,84.13
Rickie,Shingfield,57131,53.35,67.62
Cilka,O' Cuolahan,88832,76.38,55.81
Byran,Haywood,43479,76.36,67.5
Courtney,Penner,57025,75.5,40.48
Rebe,Treadger,85199,79.34,95.86
Rockie,Inker,47250,48.06,84.22
Yanaton,Parbrook,57385,45.1,40.62
Irvine,Varty,49504,60.94,77.96
Chauncey,Loads,43004,68,85.94
Melina,Cowans,75238,60.47,68.56
Cary,VanBrugh,52029,23.64,72.09
Odella,Station,69368,89.93,38.72
Hendrik,Eschalette,31802,56.12,32.28
Marla,Mortimer,87166,63.76,60.25
Evangeline,Youde,32395,98.25,79.69
Parker,Vant,95740,27.81,73.96
Bernard,O'Rudden,67848,72.84,82.42
Celia,Wealleans,58879,43.98,34.01
Gusella,Gabits,63435,96.44,25.06
Dolley,Curds,25394,41.37,74.79
Chadd,Gornal,85522,78.76,87.88
Salli,Elks,89772,89.37,84.79
Katherine,Newby,47837,12.31,66.64
Emanuel,Bolletti,50088,56.02,61.82
Ibby,McEvay,33692,18.63,37.59
Shamus,Dorre,98061,95.98,65.28
Craggy,Kinlock,56841,99.15,72.71
Milton,Insall,64351,10.77,65.53
Horton,Sleite,69211,65.15,74.53
Barnebas,Naismith,13949,22.23,93.14
Aleksandr,Blaber,53819,99.91,68.26
Valentia,Haselhurst,79025,11.17,94.36
Rachele,Mc Cahey,88184,44.99,43.45
Louisette,Purves,76767,60.53,65.78
Charlie,Dury,19814,27.97,96.2
Buckie,Axtell,71685,83.7,48.4
Neddy,Matthius,87744,90.68,77.74
Margarette,Achrameev,21832,45.78,92.8
Giles,Firminger,40220,49.48,60.09
Harcourt,Tofanelli,79122,69.49,50.82
Free,Raffon,70605,89.04,75.61
Cristionna,Adrien,24659,12.56,25.13
Janeta,Dowdney,82649,42.21,33.62
Meryl,Flawith,29346,14.28,94.79
Harper,Garrod,70538,95.03,28.81
Mikaela,Lempenny,16473,82.56,26.98
Cully,Aronson,29902,34.74,73.45
Marnie,Reuben,49431,49.99,78.26
Valida,Cauthra,68843,10.58,89.3
Whitby,Kirgan,20968,50.6,54.11
Aura,Pomfrey,47406,90.46,59.02
Ottilie,Fellona,40445,78.28,55.77
Delia,Bulch,78003,36.38,69.14
Basile,Mifflin,69331,58.62,91.34
Karlotta,Grassi,56834,68.3,91.75
Larissa,Normandale,88928,46.37,90.81
Lucky,McGifford,86453,24.77,67.46
Nerte,Shotboult,15412,60.4,27.43
Hayyim,Blaw,83468,43.2,84.6
Heida,Robbins,71048,90.85,30.71
Jabez,O'Devey,84550,82.5,88.03
Dallas,Vella,29273,80.51,28.11
Price,Randerson,97970,19.69,58.92
Sonya,Giberd,74389,50.6,62.46
Annabell,Beggan,15083,77.47,30
Ximenes,Accombe,72777,83.35,80.06
Mikey,Burberye,22013,12.49,66.55
Jenica,Harmour,94746,38.83,50.94
Gwen,Rapinett,91350,72.46,57.68
Adaline,Dunlop,45118,30.75,88.58
Pyotr,Senecaut,92363,52.7,29.62
Rikki,Khrishtafovich,54304,53.31,53.27
Goldia,Hubbocks,21106,85.56,53.02
Matthew,Munday,66539,48.63,23.54
Merrile,Pollicott,51918,50.7,66.25
Billy,Di Nisco,84793,73.24,79.25
Milka,Gehringer,12920,25.39,22.95
Sly,Greed,12333,71.75,86.88
Sasha,Flegg,69147,19.49,98.5
Ethelred,Lusk,48801,36.61,26.72
Tresa,Sawfoot,37221,45.4,20.25
Sibylla,Noor,25301,56.82,68.56
Val,Kitchener,67000,27.48,88.11
Kali,Umbers,53395,88.48,22.56
Hallie,O'Flannery,61516,67.91,56.35
Galen,Rockcliff,96018,41.93,22.29
Wrennie,Korpolak,27291,49.31,75.94
Wrennie,Hentze,75834,79.72,20.33
Filippa,Byatt,12975,59.66,79.32
Armando,Grigorkin,41797,61.48,92.85
Terry,Greenough,36165,45.15,78.71
Buiron,Marton,15804,77.05,44.1
Nicolea,Marples,21490,56.03,48.56
Paolo,Dabel,19490,93.33,37.58
Ranna,Vondra,32914,77.6,43.14
Kimberlyn,Lowings,49740,44.79,76.31
Else,Willes,84802,26.29,51.41
Thalia,Forber,29610,38.57,97.69
Basile,Franey,97639,32.08,66.61
Orv,Broy,51338,75.13,89.17
Ermentrude,Kerins,23538,97.29,85.46
Ninetta,Newstead,13001,91.5,41.91
Raimundo,Redpath,63133,92.39,37.45
Elfrida,Fegan,61750,28.11,21.16
Colette,Houliston,84616,48.94,90.65
Stacey,Suero,33259,32.93,77.32
Britney,Domnick,94106,26.94,25.79
Kleon,Blasing,52670,15.25,60.91
Sandy,Abrey,68264,46.97,68.69
Shelli,Abdee,72163,95.51,73.08
Hirsch,Motton,52655,20.95,42.73
Cassie,McCarrick,75320,21.53,90.83
Ninnetta,Kinsella,57281,44.79,76.39
Ramona,Pingston,58433,10.86,20.69
Grayce,Rayworth,68923,63.7,75.4
Frans,Dunnan,28248,80.23,32.2
Trey,Ridel,91435,35.31,28.26
Rikki,Tweedlie,33133,22.3,88.34
Mellisa,Kunisch,53735,76.98,22.25
Maximilien,Halloran,40199,87.6,33.96
Inesita,Rabley,86060,93.25,47.02
Sammie,Prentice,27742,60.98,71.52
Constantine,Thoresby,18602,49.51,84.6
Karna,Cattini,10551,36.65,19.04
Hamish,Indruch,11359,98.28,72.95
Amalita,Ewbanks,34228,56.61,23.33
Solomon,Ohlsen,11378,99.49,26.44
Doralynn,Logan,60749,37.79,25.81
Valentijn,Mackney,31989,81.87,33.37
Hadleigh,Domenicone,37382,74.69,42.34
Katinka,Mortlock,11950,51.45,28.03
Fred,Jerisch,12816,79.32,89.39
Kennedy,Mulhall,53115,39.86,67.57
Loralee,Freckingham,59743,55.65,19.64
Jacqueline,Rawet,88450,36.24,40.38
Christalle,Bromidge,33053,53.85,94.06
Helen,Pietzke,56482,47.69,43.82
Napoleon,Sparshatt,10818,86.67,79.59
Marie,Ottosen,95309,37,27.31
Dynah,Lambourne,81640,34.4,74.65
Saba,Wasteney,43648,27.81,46.61
Star,Jowling,34726,69.24,43.96
Arne,Toward,24959,20.53,60.15
Shauna,Matthius,49472,93.23,98.78
Reba,Reddell,68859,60.51,37.27
Mercie,Ramsier,31310,85.99,86.67
Smith,Meegan,89024,87.72,82.3
Westbrooke,Gerrietz,74290,76.53,59.05
Odey,Delahunt,66721,85.27,59.89
Elvis,Roscoe,70485,65.43,34.81
Pattie,Loveard,19466,30.2,55.1
Celia,Keightley,79584,84.77,19.59
Vinson,Pinkerton,13379,54.21,24.91
Neil,Mickan,60772,92.99,83.38
Blisse,Paraman,39746,63.51,57.69
Penni,Kemet,37247,39.43,38.61
Pavel,Zecchi,96826,39.86,66.82
Adel,Lintall,98638,88.88,86.43
Merla,Kenaway,82446,77.89,56.27
Stewart,Southouse,74849,53.95,52.97
Gretna,Dudill,87070,11.21,86.32
Boris,Loram,93603,28.91,60.47
Patrice,Eede,50640,69.66,28.89
Riccardo,Oertzen,16743,75.38,54.55
Alard,Harby,85141,97.75,59.36
Inez,Olyfant,83194,88.91,36.61
Ariela,Bruyntjes,89775,19.21,95.38
Woodman,Mechem,45446,83.23,93.91
Elspeth,Topley,14070,27.22,73.35
Melissa,Toffanini,71366,35.35,94.41
Cherin,Haville,74711,88.61,42.05
Mia,Nation,39160,77.59,92.37
Cleve,Craigie,88148,58.07,56.91
Joannes,Roskelley,99590,80.61,32.04
Jobi,Wombwell,18628,52.99,62.8
Gertrud,Malinowski,53480,20.57,55.84
Brenda,Heape,88124,40.49,95.25
Thurston,Gagie,80600,81.84,70.82
Stinky,Vamplew,40842,20.31,31.74
Faustina,Utley,61793,60.1,91.52
Sawyer,Lansbury,42473,88.23,39.77
Toiboid,Kimblin,76125,73.02,43.44
Frasier,Breddy,94712,13.11,34.12
Jemmie,McCrohon,93548,34.91,81.57
Georgi,Towers,45160,86.81,52.67
Leland,Larking,48458,66.69,62.28
Siffre,Caesmans,68750,86.81,29.94
Ozzie,Purkess,61149,11.44,69.2
Cristi,Gytesham,60728,80.07,60.37
Maryanne,Ellissen,36865,68.3,42.16
Mattias,Corselles,21577,77.77,93.94
Grayce,Denley,19166,63.08,49.2
Madelle,Grumbridge,73157,79.59,66.07
Christye,Skinner,91760,32.4,24.37
Olivette,Frankema,28578,88.83,28.22
Mikel,Rasell,18678,53.71,98.6
Emmett,Piell,23334,63.91,84.12
Becca,Starsmore,22285,68.56,83.84
Pincas,Brimmacombe,82240,87.77,90.61
Eduardo,Olivelli,79282,20.18,28.37
Aland,Asty,15610,83.41,38.48
Binnie,Emptage,61645,15.96,78.7
Karon,Walenta,83593,19.49,42.3
Dag,Pavlovic,14187,12.69,41.17
Donella,Geely,91319,21.2,46.68
Sheila-kathryn,Provis,98990,74.77,56.22
Tiebout,Lewnden,24207,45.42,59.28
Rosalie,Duffy,25469,56.23,27.67
Jamie,Ivens,93284,61.53,93.56
Wilhelm,Vowells,21625,30.77,60.81
Rudiger,Goodbanne,52403,83.24,96.75
Forester,Cosgreave,57690,16.85,31.18
Shina,Blasli,60611,55.88,32.25
Nils,Alston,86899,47.57,61.82
Simonette,Jeske,18590,36.67,36.31
Aila,Barz,16434,81.3,72.72
Claiborn,Ratazzi,21083,96.88,83.59
Tito,Dwyer,88015,88.79,24.57
Brade,Haggarth,45248,35.57,29.13
Peta,Ruddoch,21620,52.25,88.73
Neale,Kupke,26412,51.69,59.16
Rebecca,Arnopp,27419,65.83,70.54
Dionis,Boyall,73206,72.96,75.67
Arney,De L'Isle,35250,21.26,52.05
Laurena,Yeend,63586,60.01,93.32
Lyon,Corder,40834,17.65,87.54
Maxim,Rameau,60785,86.46,94.47
Raviv,Montilla,98179,38.19,26.78
Beilul,Armit,59579,86.87,96.21
Karyl,Demead,52123,84.28,70.45
Kerianne,Gudyer,23606,39.88,85.7
Massimo,McKee,86900,82.67,62.46
Lorraine,MacGaffey,70285,60.14,81.23
Guy,Baglow,90545,17.35,25.07
Ferdinand,Blaskett,82571,42.94,61.41
Hyacinth,Parrot,15997,82.01,74.46
Pattin,Sillito,21662,83.96,65.43
Terrance,Siflet,47986,38.23,77.93
Virgie,Sheara,73977,53.87,47.58
Lek,Janca,91647,94.08,38.26
